volume cm3,Displacement,Coordinates,3_Filtered,,,,,,
"[4.12299890e+03, 3.97278059e+03, 3.86672250e+03, 3.74266601e+03,
 3.62129183e+03, 3.53200390e+03, 3.41525293e+03, 3.31097846e+03,
 3.20335423e+03, 3.10751448e+03, 3.00036822e+03, 2.89571383e+03,
 2.79352180e+03, 2.71396343e+03, 2.62052264e+03, 2.52495076e+03,
 2.45481721e+03, 2.36233631e+03, 2.26785430e+03, 2.18726846e+03,
 2.12163231e+03, 2.03592415e+03, 1.93990206e+03, 1.88112121e+03,
 1.80622119e+03, 1.74198074e+03, 1.65786981e+03, 1.60208903e+03,
 1.55369535e+03, 1.46940736e+03, 1.40459015e+03, 1.35603822e+03,
 1.29579765e+03, 1.23623030e+03, 1.17851697e+03, 1.12262856e+03,
 1.08189207e+03, 1.02912634e+03, 9.76532443e+02, 9.34881965e+02,
 8.87051480e+02, 8.56841989e+02, 8.02323479e+02, 7.58670483e+02,
 7.26753000e+02, 6.92140672e+02, 6.51101239e+02, 6.15303128e+02,
 5.79207235e+02, 5.49137082e+02, 5.15374849e+02, 4.84936139e+02,
 4.52201061e+02, 4.26789750e+02, 4.00122373e+02, 3.75046813e+02,
 3.52364690e+02, 3.24550941e+02, 3.03345042e+02, 2.83481804e+02,
 2.62826191e+02, 2.42487758e+02, 2.25580593e+02, 2.10401264e+02,
 1.91027766e+02, 1.75573755e+02, 1.60091299e+02, 1.49096646e+02,
 1.34952566e+02, 1.20708959e+02, 1.10147118e+02, 1.00505057e+02,
 9.04103780e+01, 8.05898437e+01, 7.24831768e+01, 6.48362459e+01,
 5.66008198e+01, 5.02236365e+01, 4.43444065e+01, 3.79181279e+01,
 3.30631458e+01, 2.85116229e+01, 2.41316438e+01, 2.03384108e+01,
 1.65748497e+01, 1.38185598e+01, 1.13861424e+01, 9.00572501e+00,
 7.07510252e+00, 5.55307171e+00, 4.30768742e+00, 2.93946327e+00,
 1.99958884e+00, 1.25921629e+00, 8.04040485e-01, 5.31231875e-01,
 2.36668716e-01, 7.40588447e-02]","[2885.27455981, 3415.53799266, 3234.40687013, 3396.35731293, 3149.02727553,
 2756.37516259, 3141.1209065  ,3254.41128867 ,3187.70441791, 2767.8873549,
 3059.92832323, 2788.38080694, 2473.99076253, 2923.94801602, 2767.7603045,
 2337.26044014, 2468.55978763, 2724.57225825, 2590.65449277, 2300.36814711,
 2193.04888838, 1696.81628831, 1752.58035901, 1789.22002569 ,2006.24768061,
 1950.8694303 , 1612.18744612 ,1638.87122656 ,1723.06878544, 1486.00550231,
 1834.78860831, 1931.2014373 , 1313.6735421 , 1101.41580677, 1666.68641914,
 1314.29552388, 1093.5335208 , 1152.91447333, 1107.95189905 , 606.55489647,
 1023.39549034,  693.78827203,  661.49424537 , 763.08837187 , 653.65447337,
  700.56052571,  683.11444039 , 608.74473436 , 487.6519335  , 745.70826921,
  344.96732123,  513.29891379 , 413.15468558 , 367.79646108,  334.7055433,
  410.65508552,  338.52436648 , 344.850715   , 385.60108905 , 335.80488566,
  434.52962661,  188.23079864 , 192.19485739 , 335.70302417,  123.24789379,
  212.94216449,  141.87773504 , 167.40534447 , 311.62678748 , 213.40496464,
  130.35718738,  101.61965061 ,  92.60159051 , 118.87393159 , 129.05553506,
  202.41891338,   94.68102725,  107.5775038  ,  97.61184917 , 104.10536605,
   99.07495626 ,  78.87848763 ,  76.27856199 , 100.61885218 ,  95.40732799,
   69.03502993 ,  85.43540684 ,  83.61050098 ,  79.06224381  , 67.50606305,
   70.50329769 ,  75.61173166 ,  69.11329987  , 67.49832207  , 71.95276591,
   78.57966114 ,  73.87977901 ,  77.42963377]","[3518.92114618, 3446.99316715, 3542.8280028 , 3545.43585373 ,3470.12887448,
 3287.16301627, 3263.83882216, 3242.33535625, 3123.74522726, 3153.75222369,
 3171.38249524, 2779.41380046, 2504.22826821 ,2974.13145282 ,2655.75639987,
 2523.93902092, 2678.92970625, 2354.56387021, 2473.46535871, 2139.07998834,
 2090.30000392, 2119.35719411, 1777.93699103 ,1918.50327734 ,1964.86610932,
 1686.96865294, 2411.57731089, 1694.38414538 ,1469.78347517 ,1964.51948533,
 1462.61606278, 1597.72999434, 1216.88373955 ,1168.46930151 ,1026.06090715,
 1017.60996616, 1055.88789503, 1292.86062095 , 928.47194033 , 839.85956407,
  701.3472184  , 793.51884919 , 791.70592341 ,1119.37488576 , 757.20737558,
  654.89505794,  712.5811654  , 538.50342937 , 520.09150291 , 517.89638149,
  605.35541283,  399.39582673 , 592.72145388,  326.74879645 , 331.67298276,
  486.89018398,  350.01978667 , 333.23795135 , 358.45389409 , 378.55433768,
  330.32967658,  299.05377341,  209.84718459 , 140.09614182  ,126.31866775,
  229.63583861,  259.11386792 , 142.11629246 , 159.88295275 , -36.21394607,
  249.22752764,  -80.77816695 , 309.7352846  , 200.30427361 , 238.19699645,
  -51.51209311 , 148.28634686  ,  9.35328494 , 199.07419465 ,-226.44379465,
   -8.29418879  ,-28.95511636  ,-13.53569394 , 208.52396811 , 139.39392413,
  -63.2538117   ,-34.38990032 ,-117.17208817 , 140.55077094 ,  13.02361642,
  -87.53690463 ,  -5.32828671 , -63.698611    ,-55.49316973  , 41.05924269,
 -182.08071644,  113.54580117 , 213.71018052]","[3311.37238556, 2351.68201308 ,3009.70999057 ,2650.67438353, 3750.88766825,
 3379.11114155, 3442.61668607 ,2953.45246296 ,3105.9576786  ,3149.7475555,
 2741.67491428, 2923.85242103 ,2457.36976762 ,2475.43377993, 2270.44568711,
 1967.98388211, 2162.32972157 ,2613.5842654  ,2528.51136115 ,1845.83929063,
 1881.0337282 , 2402.35374614 ,2185.69495517 ,1841.82454688, 2278.32723585,
 2121.2595098  ,1417.62584213 ,1544.85232706 ,1784.29626944, 1255.16842642,
 1278.67004875, 1087.8461105 , 1272.75876433 ,1226.78064689, 1114.15942964,
 1532.68976936, 1668.19197876, 1460.82851023, 1514.07504145, 1585.4229383,
  995.26414621 ,1237.87630063 ,1230.89909523 ,1064.44020602 ,1000.17862557,
  887.01486375 ,1073.64890317 , 650.37395565 ,1054.31131496  ,980.70557017,
 1755.2244574 ,  508.21130675, 1043.71538463 , 313.19200182 , 600.21441759,
  306.9210689  ,  90.51601014 , 524.58833784 , 502.54466195  ,201.25469421,
  688.02965698 , 406.18442248 , 259.82345797 , 698.35317845 , 512.60996637,
   58.94816135  ,-22.28337258 ,-172.90519494  ,-75.94214183 ,-175.88129546,
 -233.49509231 ,-279.72595897 ,-279.49962739 ,-273.91063816, -258.97471994,
 -199.65434367 ,-279.68037319 ,-223.47015159 ,-264.43776463, -252.04838385,
 -228.98418846 ,-159.25145372 , -41.88452281 ,-234.78845073 , -31.02650493,
  -39.39757864  , 11.21701859  , 31.64510233  , 64.23598951  , 24.40630087,
   20.47769091  , 62.64982537  , 27.52124758  , 35.81712318  , 59.23826388,
   99.02371833 , 137.56041718  ,168.12206114]",,,,,,SIFT
"[4.12299890e+03, 3.97278059e+03, 3.86672250e+03, 3.74266601e+03,
 3.62129183e+03, 3.53200390e+03, 3.41525293e+03, 3.31097846e+03,
 3.20335423e+03, 3.10751448e+03, 3.00036822e+03, 2.89571383e+03,
 2.79352180e+03, 2.71396343e+03, 2.62052264e+03, 2.52495076e+03,
 2.45481721e+03, 2.36233631e+03, 2.26785430e+03, 2.18726846e+03,
 2.12163231e+03, 2.03592415e+03, 1.93990206e+03, 1.88112121e+03,
 1.80622119e+03, 1.74198074e+03, 1.65786981e+03, 1.60208903e+03,
 1.55369535e+03, 1.46940736e+03, 1.40459015e+03, 1.35603822e+03,
 1.29579765e+03, 1.23623030e+03, 1.17851697e+03, 1.12262856e+03,
 1.08189207e+03, 1.02912634e+03, 9.76532443e+02, 9.34881965e+02,
 8.87051480e+02, 8.56841989e+02, 8.02323479e+02, 7.58670483e+02,
 7.26753000e+02, 6.92140672e+02, 6.51101239e+02, 6.15303128e+02,
 5.79207235e+02, 5.49137082e+02, 5.15374849e+02, 4.84936139e+02,
 4.52201061e+02, 4.26789750e+02, 4.00122373e+02, 3.75046813e+02,
 3.52364690e+02, 3.24550941e+02, 3.03345042e+02, 2.83481804e+02,
 2.62826191e+02, 2.42487758e+02, 2.25580593e+02, 2.10401264e+02,
 1.91027766e+02, 1.75573755e+02, 1.60091299e+02, 1.49096646e+02,
 1.34952566e+02, 1.20708959e+02, 1.10147118e+02, 1.00505057e+02,
 9.04103780e+01, 8.05898437e+01, 7.24831768e+01, 6.48362459e+01,
 5.66008198e+01, 5.02236365e+01, 4.43444065e+01, 3.79181279e+01,
 3.30631458e+01, 2.85116229e+01, 2.41316438e+01, 2.03384108e+01,
 1.65748497e+01, 1.38185598e+01, 1.13861424e+01, 9.00572501e+00,
 7.07510252e+00, 5.55307171e+00, 4.30768742e+00, 2.93946327e+00,
 1.99958884e+00, 1.25921629e+00, 8.04040485e-01, 5.31231875e-01,
 2.36668716e-01, 7.40588447e-02]","[3399.29520003, 3399.29520003, 3399.29520003, 3399.29520003, 3382.5211057,
 3367.40186137, 3380.83480028, 3362.86294253, 3243.06055113, 3253.90677322,
 2993.07375944, 2861.25466028, 3047.31052204, 2858.4271129 , 2317.94853233,
 2500.17936584, 2354.42797297, 2563.71366258, 2419.83632466, 1082.30074108,
 2416.63573565, 2040.15097148, 1977.65642383, 1745.29523453, 1736.76909543,
 1808.64104449, 1655.60231543, 1600.57916732, 1375.6130736  ,1455.29198765,
 1414.04041571, 1074.69872782, 1255.43444589, 1174.64623679, 1071.49113507,
 1010.89902598, 1054.09628767,  958.98486526 , 969.00482964 , 869.10069474,
 1132.08435001,  884.25901261 ,1048.74665452 , 792.63662295 , 717.40877374,
 1065.2456368  , 229.88993943  ,626.02143962 , 585.9559582  , 526.27974248,
  714.34088728 , 656.50696392  ,591.07545071 , 603.84487686,  747.86149102,
  506.48211875 , 164.27331845 , 440.67909983 , 124.24703343,  159.86120427,
  202.35219349 ,  90.92738806 ,  87.94207208  , 95.28113769  , 68.6219318,
   68.89237469  , 74.07109186 , 101.37783707  , 89.12189608 , 120.7225519,
  102.56675365 , 111.38029208 , 174.56538451 ,  38.3962219  ,  49.12731223,
   76.62905647  ,146.58296213 , 101.02543806  , 52.68091461 ,  55.00800134,
   64.17098983  , 96.24949771  , 74.94680585  , 50.16779856 , 127.48731034,
   81.04559407  , 63.79536788  , 86.60632257  , 68.5457507   , 59.45906618,
   37.06084101  , 39.401198    , 37.35376961  , 43.50084681  , 23.1064302,
   60.98883174  , 47.12731272 ,  16.30837325]","[1.98565089e+03, 2.08662758e+03, 2.15290268e+03, 2.17306855e+03,
 2.49378015e+03, 2.09184427e+03, 2.15031351e+03, 2.16194267e+03,
 2.17436584e+03, 2.16887663e+03, 2.17549971e+03, 2.11515716e+03,
 2.20386292e+03, 2.19908219e+03, 1.91718596e+03, 1.67559297e+03,
 1.83383647e+03, 1.39232979e+03, 2.00335255e+03, 1.98260389e+03,
 2.01276571e+03, 1.74953287e+03, 1.65524181e+03, 1.38529925e+03,
 1.81285804e+03, 1.93638347e+03, 1.57017333e+03, 1.52018870e+03,
 1.80129817e+03, 1.16082969e+03, 1.43956428e+03, 1.89472175e+03,
 4.24708839e+02, 9.25252675e+02, 1.57373197e+03, 1.04749397e+03,
 2.00888908e+03, 1.17280462e+03, 1.70227184e+03, 1.19964506e+03,
 1.11579167e+03, 8.76709343e+02, 1.17221741e+03, 6.31028012e+02,
 1.52701415e+03, 7.61294860e+02, 7.38356241e+02, 7.96820440e+02,
 2.99211419e+02, 4.77150185e+02, 1.43797725e+03, 6.63853095e+02,
 4.17782871e+02, 9.62259362e+02, 1.05440064e+03, 3.38168711e+02,
 2.56573228e+02, 4.21827842e+02, 2.93686938e+02, 3.48814037e+02,
 1.41939356e+02, 2.85213634e+02, 2.15593942e+02, 3.97099335e+02,
 1.63342189e+02, 2.28334616e+02, 1.81997219e+02, 1.70120654e+01,
 6.30726305e+01, 2.38449131e+02, 1.94626447e+02, 2.54330254e+01,
 1.42093070e+02, 9.06565765e+01, 5.50227461e+01, 1.31792648e+02,
 1.70232277e+02, 1.04560364e+02, 2.67165540e+01, 1.29282604e+02,
 1.18484616e+01, 1.71406818e+02, 1.45095342e+02, 2.31255434e+00,
 1.34657057e+02, 2.83470752e+01, 8.41212215e+01, 1.68647834e+02,
 1.28658656e+02, 1.47557957e+02, 5.40743461e+02, 1.13856178e+02,
 1.91094962e+02, 5.58919478e+01, 3.51279300e+01 ,8.72135046e+00,
 1.13708485e+02, 2.16245905e+02]","[3476.18650033, 3476.18650033, 3476.18650033, 3476.18650033, 3476.18650033,
 3476.18650033, 3321.6352079  ,3476.18650033 ,3429.97897949 ,3395.79529304,
 2543.70383763, 2758.61021764, 2569.68601475 ,2518.31439859, 2332.03982336,
 2264.08726881, 2219.78722431, 2189.42143949 ,2256.49373377, 2212.52765736,
 2163.85432647, 1994.74470375, 1976.83194777 ,1947.7710714  ,1982.87777784,
 1973.83532751, 1796.15815756, 1711.44551617 ,1657.97019591, 1612.56392818,
 1464.34389918, 1332.41888372, 1322.9739023 , 1324.46705178 ,1275.54846691,
 1326.66524502, 1302.84710252, 1219.70489755, 1178.52754075, 1146.63936274,
 1107.92855323, 1149.35988797, 1083.29048096 , 867.32788692 , 799.15600454,
  610.88966226 , 397.43404064 , 693.49565061 , 638.68077179 , 488.47954281,
  480.92889035 , 593.16551594 , 493.59964969 , 534.89422708 , 496.1990224,
  467.30304124 , 332.18517775 , 139.43606948 ,  44.50139949  ,221.60868569,
  281.68128885 , 173.49073956 , 360.66965813 ,1139.50094831, 1170.08618384,
  550.11250684,  315.41132917 ,  13.17069508  ,-68.97697796 ,-135.7758804,
  -99.49242177 ,-126.9568127  ,-147.21582355 ,-194.40055125 ,  58.65646147,
   57.80519916 ,-115.47410984, -240.06067405 , -76.54765867 , -77.54968583,
 -217.91237202,  -80.96223031, -110.95276179, -111.85968545, -134.44357133,
  -20.34972434 , -89.55914411 ,-100.45377805 ,-121.83744305 , 213.3285378,
  225.01557802,  165.80922764 , 160.76173855 , 306.08405983 , 150.84824339,
   39.00923397 ,  40.82689035 , 420.97737827]",,,,,,CF
